Sex,Extension,Flexion,Abduction,Adduction,ThighCircumference,ThighLength,BiiliacBreadth,DistanceBetweenKnees,BiepicondylarBreadth,InternalRotation,ExternalRotation
F,153,42,170,38,62,25,53,,11,35,73
M,162,38,170,53,60,27,44,,13,40,73
M,169,62,160,38,61,29,44,,12,24,73
M,156,47,159,39,52.5,28,41,,10,34,75
F,154,52,160,32,58,24,51,,10.5,43,68
M,157,52,156,43,56,28,44,,12,33,57
F,168,52,172,60,50.5,28,44,,9,21,73
M,162,63,153,50,61,28,46,,14,18,85
F,148,41,166,58,43,24,25,63,5,49,77
M,175,45,159,49,48,30,,73,,41,97
M,153,36,166,51,50,29,35,61,8,23,49
M,164,47,159,46,58,28,31,73,8,41,63
M,166,39,161,42,55,28,33,72,8,36,70
M,176,33,157,38,62,28,47,76,10,34,92
F,164,30,163,64,38,24,30,58,5,38,84
M,149,20,163,43,59,27,33,70,10,41,65
M,166,41,158,43,48,28,38,65,8,30,95
F,163,27,161,42,45,27,34,67,6,27,65
F,156,21,161,44,40,24,33,69,6,49,81
M,154,42,165,46,53,31,39,75,7,29,84
F,154,25,165,41,53,30,40,70,8,33,92
M,153,38,164,48,59,25,41,71,10,39,73
M,138,27,162,54,55,27,39,75,7,35,90
M,156,30,155,64,53,28,40,72,8,34,71
F,154,28,163,54,39,30,40,76,6,49,83
F,149,24,158,68,47,26,45,73,8,32,66
F,166,27,173,49,45,27,41,71,5,26,81
F,165,33,167,51,45,27,38,74,6,41,84
M,167,39,159,36,56,29,46,81,7,46,81
F,154,29,171,55,44,24,30,71,5,39,91
M,166,28,155,53,53,25,38,73,10,59,76